,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
107,р-н Центральный,30000.0,3,65.0,6.0,1,,изолированные,,косметический,,"холодильник, микроволновка, стиральная машина",,1,1,0,панельный,5,0,0,,0,ул. Димитрова
108,р-н Центральный,15000.0,2,47.0,8.0,5,лоджия,изолированные,раздельный,косметический,"кухня, спальные места","холодильник, плита, стиральная машина",,1,1,0,кирпичный,9,0,0,,0,ул. Чернышевского
109,р-н Центральный,20000.0,1,32.3,6.8,4,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Димитрова
110,р-н Железнодорожный,8000.0,1,30.0,6.0,2,"балкон, лоджия",,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,5,0,0,открытая во дворе,0,Союзная ул.
111,р-н Центральный,27000.0,1,44.0,44.0,5,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,монолитный,16,1,1,открытая во дворе,1,ул. Гайдара
112,р-н Центральный,12000.0,1,37.0,10.0,12,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",0,0,0,панельный,17,0,0,открытая во дворе,0,пр-т Вячеслава Клыкова
113,р-н Сеймский,12000.0,2,43.0,6.0,5,балкон,изолированные,раздельный,косметический,,"кондиционер, холодильник, плита, микроволновка, водонагреватель",,1,0,0,панельный,5,0,0,,0,ул. Дейнеки
114,р-н Центральный,20000.0,2,54.0,10.0,9,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,0,0,0,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе,1,ул. Радищева
115,р-н Центральный,25000.0,1,37.0,10.0,4,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,0,0,0,монолитный,18,0,1,за шлагбаумом во дворе,1,Запольная ул.
116,р-н Сеймский,12000.0,2,46.0,46.0,7,балкон,изолированные,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,1,0,0,кирпичный,9,1,0,открытая во дворе,1,пр-т Ленинского Комсомола
117,р-н Центральный,20000.0,1,45.0,10.0,7,лоджия,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",телевидение,0,0,0,монолитно-кирпичный,10,0,1,за шлагбаумом во дворе,1,Дружининская ул.
118,р-н Центральный,20000.0,2,56.0,10.0,11,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина","Wi-Fi, телевидение",1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
119,р-н Центральный,12000.0,2,47.0,8.0,8,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,панельный,9,1,0,открытая во дворе,1,Кавказская ул.
120,р-н Центральный,15000.0,3,55.0,8.0,3,,"изолированные, смежные",раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель, телевизор",,1,0,0,кирпичный,4,0,0,за шлагбаумом во дворе,0,ул. Дзержинского
121,р-н Центральный,15000.0,3,80.0,10.0,10,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
122,р-н Центральный,17000.0,1,39.0,10.0,9,лоджия,,,евро,"кухня, хранение одежды","кондиционер, холодильник, плита, микроволновка, стиральная машина",Wi-Fi,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
123,р-н Железнодорожный,35000.0,3,90.0,20.0,2,балкон,"изолированные, смежные",совмещенный,евро,"кухня, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",0,0,0,кирпичный,2,0,0,открытая во дворе,0,1-я Воронежская ул.
124,р-н Центральный,20000.0,2,70.0,10.0,1,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, посудомоечная машина, водонагреватель",,1,0,0,панельный,10,1,0,открытая во дворе,1,Звёздная ул.
125,р-н Центральный,20000.0,4,114.0,10.0,3,лоджия,изолированные,раздельный,косметический,кухня,"холодильник, плита, стиральная машина",,1,0,0,монолитный,5,0,0,открытая во дворе,0,ул. Карла Маркса
126,р-н Центральный,22000.0,1,42.0,9.0,6,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",,1,0,0,панельный,10,1,0,,1,ул. Карла Маркса
127,р-н Центральный,37000.0,1,45.0,15.0,9,балкон,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,10,1,1,за шлагбаумом во дворе,1,Дружининская ул.
128,р-н Центральный,20000.0,1,42.6,18.1,5,балкон,,совмещенный,евро,,,,1,0,0,монолитно-кирпичный,18,1,1,за шлагбаумом во дворе,1,ул. Софьи Перовской
129,р-н Центральный,24000.0,3,80.0,10.0,10,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",Wi-Fi,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
130,р-н Центральный,15000.0,1,44.0,12.0,2,,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",0,0,0,кирпичный,12,1,0,"подземная, открытая во дворе",1,ул. Перекальского
131,р-н Центральный,9000.0,1,30.0,6.0,2,,,,косметический,,"холодильник, плита, микроволновка, стиральная машина","Wi-Fi, телевидение",1,0,0,кирпичный,5,0,0,,0,ул. Пучковка
132,р-н Центральный,12500.0,1,34.0,9.0,5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,0,0,0,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Блинова
133,р-н Центральный,8000.0,1,37.0,10.0,7,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита","Wi-Fi, телевидение",0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
134,р-н Центральный,12000.0,2,70.0,15.0,2,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,монолитный,9,1,0,открытая во дворе,1,Майский б-р
135,р-н Сеймский,25000.0,3,61.0,8.5,4,балкон,изолированные,раздельный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,9,1,0,открытая во дворе,1,ул. Черняховского
136,р-н Центральный,15000.0,2,39.0,15.6,7,лоджия,изолированные,совмещенный,евро,"кухня, спальные места","холодильник, плита, микроволновка, стиральная машина",телевидение,1,0,0,панельный,10,0,1,открытая во дворе,1,пр-т Надежды Плевицкой
137,р-н Центральный,8500.0,1,38.0,10.0,8,,,,косметический,,,,1,0,0,панельный,17,0,0,,0,пр-т Анатолия Дериглазова
138,р-н Центральный,16000.0,2,58.0,10.0,11,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина","Wi-Fi, телевидение",0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
139,р-н Центральный,17000.0,1,39.0,10.0,7,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,10,1,1,открытая во дворе,1,Орловская ул.
140,р-н Центральный,25000.0,2,70.0,9.0,5,,изолированные,,дизайнерский,,,,1,0,0,кирпичный,5,0,0,,0,ул. Володарского
141,р-н Центральный,12000.0,1,37.0,10.0,6,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",Wi-Fi,1,1,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
142,р-н Центральный,15000.0,2,60.0,10.0,2,,смежные,,косметический,"кухня, спальные места","кондиционер, плита, стиральная машина, водонагреватель",,1,0,0,деревянный,2,0,0,,0,Чумаковская ул.
143,р-н Центральный,13000.0,2,56.0,10.0,6,балкон,изолированные,раздельный,косметический,"кухня, спальные места","холодильник, плита",,0,0,0,панельный,17,1,1,открытая во дворе,1,ул. Домостроителей
144,р-н Центральный,9000.0,1,38.0,10.0,7,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
145,р-н Центральный,5000.0,4,85.0,20.0,7,балкон,изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, телевизор",телевидение,0,0,0,панельный,10,1,0,,1,Студенческая ул.
146,р-н Центральный,9500.0,1,32.0,6.0,1,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,1,0,0,кирпичный,5,0,0,,0,ул. Степана Разина
147,р-н Центральный,10000.0,1,35.0,10.0,1,лоджия,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,0,0,0,кирпичный,10,1,0,открытая во дворе,1,Никитская ул.
148,р-н Центральный,30000.0,1,45.0,11.4,15,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",0,0,0,монолитный,17,1,1,"открытая во дворе, за шлагбаумом во дворе",1,ул. Софьи Перовской
149,р-н Центральный,17000.0,1,38.0,10.0,7,лоджия,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,0,0,0,монолитный,18,1,1,за шлагбаумом во дворе,1,Запольная ул.
150,р-н Центральный,25000.0,1,38.7,16.0,8,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",Wi-Fi,0,0,0,кирпичный,10,1,0,"открытая во дворе, за шлагбаумом во дворе",1,ул. Льва Толстого
151,р-н Центральный,15000.0,3,60.0,9.0,8,лоджия,изолированные,,косметический,,,,1,0,0,панельный,9,0,0,,0,пр-т Энтузиастов
152,р-н Центральный,11000.0,1,37.0,10.0,6,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
153,р-н Центральный,9000.0,1,39.0,10.0,10,балкон,,совмещенный,косметический,"кухня, спальные места","холодильник, плита, микроволновка, стиральная машина",,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
154,р-н Центральный,12000.0,1,42.0,10.0,5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",Wi-Fi,0,0,0,кирпичный,9,1,0,,1,ул. 50 лет Октября
155,р-н Центральный,30000.0,3,80.0,10.0,2,лоджия,изолированные,раздельный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,2,0,0,за шлагбаумом во дворе,0,ул. Горького
156,р-н Сеймский,10000.0,1,44.0,20.0,4,,,,косметический,,,,0,0,0,кирпичный,10,0,0,,0,Сумская ул.
157,р-н Центральный,12000.0,1,39.0,10.0,16,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
158,р-н Центральный,25000.0,2,48.0,19.5,7,балкон,смежные,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,монолитный,8,0,1,"подземная, открытая во дворе, за шлагбаумом во дворе",1,ул. Карла Маркса
160,р-н Центральный,7000.0,1,39.0,10.0,5,балкон,,совмещенный,косметический,кухня,плита,Wi-Fi,1,0,0,панельный,17,1,1,открытая во дворе,1,ул. Домостроителей
161,р-н Центральный,17000.0,2,44.0,6.0,2,,смежные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,панельный,5,0,0,открытая во дворе,0,ул. 50 лет Октября
162,р-н Центральный,7500.0,1,29.0,6.8,4,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",Wi-Fi,0,0,0,монолитно-кирпичный,5,0,0,открытая во дворе,0,ул. Генерала Григорова
163,р-н Центральный,14000.0,2,62.0,12.0,15,балкон,изолированные,раздельный,косметический,,,Wi-Fi,0,0,0,панельный,17,0,0,,0,пр-т Анатолия Дериглазова
164,р-н Центральный,7000.0,1,39.0,10.0,11,балкон,,совмещенный,косметический,,,,1,0,0,панельный,17,1,1,,1,пр-т Вячеслава Клыкова
165,р-н Центральный,18000.0,2,40.0,16.0,7,"балкон, лоджия",изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,10,1,1,"открытая во дворе, за шлагбаумом во дворе",1,пр-т Надежды Плевицкой
166,р-н Центральный,10000.0,2,60.0,9.0,6,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",телевидение,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
167,р-н Центральный,12000.0,2,52.3,10.0,3,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",,1,0,0,панельный,10,1,0,открытая во дворе,1,ул. Бойцов 9-й Дивизии
168,р-н Центральный,14000.0,2,75.0,15.0,9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,1,1,монолитный,9,1,0,,1,пр-т Вячеслава Клыкова
169,р-н Центральный,10000.0,1,34.0,7.0,3,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,0,0,0,кирпичный,5,0,0,открытая во дворе,0,ул. Гоголя
171,р-н Центральный,30000.0,3,92.0,14.0,5,,изолированные,,евро,,"холодильник, плита, стиральная машина, фен, утюг",Wi-Fi,1,0,0,кирпичный,10,0,0,,0,ул. Димитрова
172,р-н Центральный,9000.0,1,34.5,9.0,13,балкон,,совмещенный,евро,,,,1,0,0,панельный,17,1,1,,1,пр-т Анатолия Дериглазова
173,р-н Центральный,10000.0,1,35.0,9.0,9,лоджия,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,панельный,9,1,0,открытая во дворе,1,пр-т Дружбы
174,р-н Центральный,14000.0,3,70.0,10.0,7,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,1,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Ватутина
175,р-н Центральный,25000.0,2,67.5,13.0,5,лоджия,изолированные,раздельный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,10,1,1,открытая во дворе,1,Звёздная ул.
176,р-н Сеймский,8000.0,2,45.0,6.0,3,балкон,смежные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,1,1,0,панельный,5,0,0,,0,ул. Комарова
177,р-н Центральный,40000.0,4,75.0,10.0,2,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,1,1,0,кирпичный,5,0,0,за шлагбаумом во дворе,0,ул. Радищева
178,р-н Сеймский,10000.0,1,41.0,10.0,4,лоджия,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, телевизор",Wi-Fi,1,1,0,панельный,10,1,0,открытая во дворе,1,пр-т Ленинского Комсомола
179,р-н Центральный,14000.0,1,31.0,7.0,8,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",,1,1,0,кирпичный,9,1,0,,1,ул. Ленина
180,р-н Центральный,7000.0,1,39.0,10.0,3,балкон,,совмещенный,косметический,кухня,,,1,0,0,панельный,17,0,0,,0,ул. Домостроителей
181,р-н Центральный,14000.0,1,38.0,10.0,14,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
182,р-н Сеймский,15000.0,2,48.0,8.0,6,балкон,изолированные,,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор",,1,0,0,панельный,9,1,0,открытая во дворе,1,пр-т Ленинского Комсомола
183,р-н Железнодорожный,12000.0,1,38.0,16.0,3,лоджия,,совмещенный,косметический,,"холодильник, плита, микроволновка, стиральная машина",,0,0,0,кирпичный,5,0,0,,0,Республиканская ул.
184,р-н Центральный,10000.0,1,38.0,10.0,5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,0,0,0,панельный,17,0,0,,0,пр-т Анатолия Дериглазова
185,р-н Центральный,12000.0,2,39.0,19.0,8,лоджия,изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина","Wi-Fi, телевидение",1,0,0,панельный,10,1,0,"открытая во дворе, за шлагбаумом во дворе",1,Рябиновая ул.
186,р-н Центральный,23000.0,1,44.0,10.0,2,балкон,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",0,0,0,монолитный,17,1,1,"открытая во дворе, за шлагбаумом во дворе",1,ул. Софьи Перовской
187,р-н Центральный,9000.0,2,56.6,9.0,1,,изолированные,,косметический,,плита,,1,0,0,панельный,17,0,0,,0,ул. Домостроителей
188,р-н Сеймский,8000.0,2,42.2,5.0,4,балкон,смежные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,0,0,1,кирпичный,4,0,0,открытая во дворе,0,ул. Менделеева
189,р-н Центральный,12000.0,1,40.0,9.0,4,,,,евро,,"холодильник, плита, микроволновка, стиральная машина, фен, утюг",,0,0,0,кирпичный,9,0,0,,0,ул. Карла Либкнехта
190,р-н Центральный,10500.0,1,38.0,15.0,5,лоджия,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,0,0,0,панельный,10,1,1,"открытая во дворе, за шлагбаумом во дворе",1,пр-т Надежды Плевицкой
191,р-н Центральный,10000.0,2,47.0,6.0,4,балкон,изолированные,,косметический,,,,1,1,0,кирпичный,5,0,0,,0,ул. Большевиков
192,р-н Центральный,25000.0,3,83.0,14.0,8,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,1,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
193,р-н Центральный,10000.0,1,37.0,10.0,13,балкон,,"совмещенный, раздельный",косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
194,р-н Центральный,6000.0,1,31.0,6.0,3,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",телевидение,0,1,0,кирпичный,5,0,0,открытая во дворе,0,ул. Пучковка
195,р-н Центральный,15000.0,1,45.0,12.0,7,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",,0,0,0,монолитный,10,0,1,за шлагбаумом во дворе,1,ул. Перекальского
196,р-н Центральный,16000.0,2,42.0,7.0,2,,смежные,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",Wi-Fi,1,0,0,кирпичный,6,0,0,,0,Ендовищенская ул.
197,р-н Центральный,18000.0,1,37.0,10.0,4,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
198,р-н Центральный,12000.0,1,42.0,10.0,13,"балкон, лоджия",,,евро,,"холодильник, плита, стиральная машина",Wi-Fi,0,0,0,монолитный,17,1,0,,1,ул. Домостроителей
199,р-н Центральный,13000.0,2,56.1,10.9,3,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",Wi-Fi,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
200,р-н Центральный,8500.0,1,39.0,10.0,1,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,1,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
201,р-н Центральный,15000.0,2,61.0,10.0,3,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
202,р-н Центральный,10000.0,2,56.0,10.0,9,балкон,изолированные,раздельный,косметический,кухня,плита,,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
203,р-н Центральный,12000.0,2,61.0,11.0,5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,панельный,17,1,1,,1,пр-т Анатолия Дериглазова
204,р-н Центральный,15000.0,2,39.0,19.0,2,балкон,смежные,раздельный,евро,"кухня, спальные места","холодильник, плита, стиральная машина",телевидение,1,0,0,монолитный,9,0,0,,0,Рябиновая ул.
205,р-н Центральный,9500.0,2,60.0,12.0,9,,изолированные,раздельный,косметический,"хранение одежды, спальные места","холодильник, плита, телевизор",,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
206,р-н Центральный,18000.0,2,60.0,11.0,3,лоджия,изолированные,,евро,"кухня, хранение одежды, спальные места","плита, стиральная машина",Wi-Fi,1,0,0,кирпичный,10,1,0,открытая во дворе,1,ул. Перекальского
207,р-н Центральный,14000.0,2,40.0,10.0,5,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,9,1,0,открытая во дворе,1,ул. Карла Либкнехта
208,р-н Центральный,12000.0,1,33.0,6.0,5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,0,0,0,кирпичный,5,0,0,,0,ул. Радищева
209,р-н Центральный,12000.0,3,60.0,6.0,2,балкон,смежные,раздельный,косметический,"кухня, спальные места","плита, стиральная машина",,0,0,0,кирпичный,5,0,0,,0,ул. Халтурина
210,р-н Центральный,12000.0,3,56.0,6.0,1,,изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",телевидение,1,1,0,кирпичный,4,0,0,открытая во дворе,0,Школьная ул.
211,р-н Центральный,7500.0,1,37.0,12.0,5,балкон,,совмещенный,косметический,,плита,,1,0,0,панельный,17,1,1,,1,пр-т Анатолия Дериглазова
212,р-н Центральный,11000.0,1,41.0,9.0,9,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,0,0,0,панельный,10,1,0,"наземная многоуровневая, открытая во дворе",1,Майский б-р
213,р-н Сеймский,9000.0,1,33.0,7.0,3,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,1,0,0,кирпичный,5,0,0,открытая во дворе,0,пр-т Ленинского Комсомола
214,р-н Центральный,20000.0,2,48.0,8.0,9,лоджия,изолированные,раздельный,евро,,"холодильник, плита, стиральная машина, телевизор",Wi-Fi,1,0,1,панельный,9,1,0,за шлагбаумом во дворе,1,ул. Димитрова
215,р-н Центральный,20000.0,1,40.0,10.0,3,балкон,,,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
216,р-н Центральный,9000.0,1,41.0,18.0,7,лоджия,,раздельный,косметический,"кухня, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,панельный,10,1,0,,1,Майский б-р
