,Адрес,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Максимум гостей,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка
0,"Курская область, Курск, ул. Карла Либкнехта, 16А",р-н Центральный,35 000 ₽ в месяц,3,116 м²,20 м²,5 из 9,"балкон, лоджия",изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,9,1,нет,за шлагбаумом во дворе
1,"Курская область, Курск, Красная пл., 2/4",р-н Центральный,27 000 ₽ в месяц,3,80 м²,15 м²,2 из 5,балкон,изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",Wi-Fi,да,нет,нет,,кирпичный,5,,,за шлагбаумом во дворе
2,"Курская область, Курск, пр-т Вячеслава Клыкова, 50",р-н Центральный,12 000 ₽ в месяц,2,58 м²,12 м²,1 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,да,нет,нет,,панельный,17,1,1,открытая во дворе
3,"Курская область, Курск, пр-т Победы, 2",р-н Центральный,13 000 ₽ в месяц,2,75 м²,15 м²,5 из 10,лоджия,изолированные,,косметический,,,Wi-Fi,да,нет,нет,,монолитный,10,1,,открытая во дворе
4,"Курская область, Курск, микрорайон Северо-Западный, Студенческая ул., 2",р-н Центральный,15 000 ₽ в месяц,3,85 м²,13 м²,9 из 10,лоджия,"изолированные, смежные",раздельный,евро,кухня,"холодильник, плита",,да,нет,нет,,панельный,10,,,открытая во дворе
5,"Курская область, Курск, ул. Горького, 50",р-н Центральный,50 000 ₽ в месяц,3,113 м²,16 м²,7 из 7,"балкон, лоджия",изолированные,,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,да,да,,кирпичный,7,1,,за шлагбаумом во дворе
6,"Курская область, Курск, микрорайон Северо-Западный, пр-т Хрущёва, 16",р-н Центральный,8 000 ₽ в месяц,1,41 м²,11 м²,4 из 9,лоджия,,раздельный,косметический,,"холодильник, плита",,нет,нет,нет,,панельный,9,1,,
7,"Курская область, Курск, ул. Блинова, 2к1",р-н Центральный,45 000 ₽ в месяц,3,58 м²,20 м²,8 из 9,балкон,изолированные,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",Wi-Fi,да,нет,нет,,кирпичный,9,1,нет,за шлагбаумом во дворе
8,"Курская область, Курск, пр-т Надежды Плевицкой, 33",р-н Центральный,10 000 ₽ в месяц,1,30 м²,9 м²,1 из 17,балкон,,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,нет,нет,нет,,панельный,17,1,,открытая во дворе
9,"Курская область, Курск, Союзная ул., 18А",р-н Железнодорожный,20 000 ₽ в месяц,1,33 м²,6 м²,2 из 9,балкон,,совмещенный,дизайнерский,,,,нет,нет,нет,,панельный,9,,,
10,"Курская область, Курск, пр-т Надежды Плевицкой, 19",р-н Центральный,10 000 ₽ в месяц,1,37 м²,18 м²,10 из 10,балкон,,совмещенный,евро,"кухня, спальные места",плита,"Wi-Fi, телевидение",нет,нет,нет,,панельный,10,4,4,открытая во дворе
11,"Курская область, Курск, пр-т Победы, 10",р-н Центральный,12 000 ₽ в месяц,студия,54 м²,,2 из 10,,,совмещенный,косметический,,,,да,нет,нет,,монолитный,10,,,
12,"Курская область, Курск, Почтовая ул., 2",р-н Центральный,12 000 ₽ в месяц,1,32 м²,7 м²,5 из 5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,кирпичный,5,нет,нет,за шлагбаумом во дворе
13,"Курская область, Курск, ул. 50 лет Октября, 15А",р-н Центральный,15 000 ₽ в месяц,1,30 м²,6 м²,4 из 5,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,5,нет,,открытая во дворе
14,"Курская область, Курск, пр-т Вячеслава Клыкова, 61",р-н Центральный,15 000 ₽ в месяц,3,80 м²,10 м²,15 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,нет,нет,нет,,панельный,17,1,1,открытая во дворе
15,"Курская область, Курск, ул. Дзержинского, 82",р-н Центральный,15 500 ₽ в месяц,2,47 м²,8 м²,2 из 3,,изолированные,раздельный,косметический,"кухня, хранение одежды",плита,,да,да,да,,кирпичный,3,,,открытая во дворе
16,"Курская область, Курск, ул. Карла Маркса, 72к6",р-н Центральный,13 000 ₽ в месяц,2,45 м²,6 м²,3 из 4,балкон,смежные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,4,нет,нет,открытая во дворе
17,"Курская область, Курск, ул. Блинова, 13/15",р-н Центральный,19 000 ₽ в месяц,студия,35 м²,,9 из 10,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, плита, микроволновка, стиральная машина, телевизор",,нет,нет,,,кирпичный,10,,,
18,"Курская область, Курск, ул. Менделеева, 15",р-н Сеймский,10 000 ₽ в месяц,2,49 м²,7 м²,3 из 5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",Можно с детьмиМожно с детьми,нет,нет,,панельный,5,,,
19,"Курская область, Курск, пр-т Вячеслава Клыкова, 70",р-н Центральный,10 000 ₽ в месяц,2,56.4 м²,56.4 м²,7 из 17,лоджия,изолированные,раздельный,косметический,,плита,,да,нет,нет,,панельный,17,1,1,
20,"Курская область, Курск, Звёздная ул., 15",р-н Центральный,9 000 ₽ в месяц,1,40 м²,9 м²,5 из 10,,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,нет,нет,нет,,панельный,10,1,,открытая во дворе
21,"Курская область, Курск, ул. Бойцов 9-й Дивизии, 185В",р-н Центральный,12 000 ₽ в месяц,1,42 м²,12 м²,14 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, микроволновка, стиральная машина, телевизор",,да,нет,нет,,кирпичный,17,,,
22,"Курская область, Курск, Центральный округ, пр-т Дружбы, 22",р-н Центральный,7 000 ₽ в месяц,1,38 м²,10 м²,9 из 9,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,да,нет,нет,,кирпичный,9,1,1,
23,"Курская область, Курск, ул. Черняховского, 7А",р-н Сеймский,10 000 ₽ в месяц,1,34 м²,9 м²,2 из 5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,нет,нет,нет,,кирпичный,5,нет,нет,открытая во дворе
24,"Курская область, Курск, ул. Бойцов 9-й Дивизии, 193",р-н Центральный,14 000 ₽ в месяц,1,43 м²,9 м²,3 из 9,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,нет,нет,нет,,панельный,9,1,нет,открытая во дворе
25,"Курская область, Курск, пр-т Победы, 40",р-н Центральный,9 000 ₽ в месяц,1,37 м²,9 м²,17 из 17,балкон,,совмещенный,косметический,"кухня, спальные места",плита,"Wi-Fi, телевидение",нет,нет,нет,,монолитный,17,1,1,открытая во дворе
26,"Курская область, Курск, Центральный округ, Школьная ул., 5к13",р-н Центральный,14 000 ₽ в месяц,1,31 м²,7 м²,2 из 4,лоджия,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,нет,,кирпичный,4,нет,нет,открытая во дворе
27,"Курская область, Курск, пр-т Вячеслава Клыкова, 35",р-н Центральный,15 000 ₽ в месяц,1,38 м²,10 м²,13 из 17,,,,косметический,,,,да,нет,нет,,панельный,17,1,1,открытая во дворе
28,"Курская область, Курск, микрорайон Северо-Западный, ул. Косухина, 31",р-н Центральный,16 000 ₽ в месяц,2,65 м²,9 м²,1 из 9,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,да,нет,нет,,панельный,9,1,,открытая во дворе
29,"Курская область, Курск, пр-т Победы, 28",р-н Центральный,14 000 ₽ в месяц,2,68 м²,12 м²,1 из 17,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,нет,нет,нет,,панельный,17,1,1,открытая во дворе
30,"Курская область, Курск, пр-т Ленинского Комсомола, 101",р-н Сеймский,10 000 ₽ в месяц,9,46 м²,8 м²,7 из 9,лоджия,изолированные,раздельный,косметический,,,,да,да,,,панельный,9,1,,открытая во дворе
31,"Курская область, Курск, 1-я Ламоновская ул., 3",р-н Сеймский,13 000 ₽ в месяц,1,41 м²,10 м²,7 из 10,,,,евро,,,,да,нет,,,панельный,10,,,
32,"Курская область, Курск, пр-т Анатолия Дериглазова, 39",р-н Центральный,15 000 ₽ в месяц,1,50 м²,20 м²,3 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,да,да,,монолитный,17,1,1,за шлагбаумом во дворе
33,"Курская область, Курск, ул. Щепкина",р-н Центральный,6 500 ₽ в месяц,1,16 м²,2 м²,5 из 9,,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,да,да,да,,кирпичный,9,1,,за шлагбаумом во дворе
34,"Курская область, Курск, пр-т Победы, 44",р-н Центральный,15 000 ₽ в месяц,2,59 м²,10 м²,14 из 17,балкон,изолированные,раздельный,косметический,"кухня, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",Wi-Fi,нет,нет,нет,,панельный,17,1,1,открытая во дворе
35,"Курская область, Курск, ул. Крюкова, 8",р-н Сеймский,9 000 ₽ в месяц,1,30 м²,7 м²,4 из 5,"балкон, лоджия",,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,,,панельный,5,нет,,
36,"Курская область, Курск, ул. Радищева, 64",р-н Центральный,15 000 ₽ в месяц,2,50 м²,9 м²,5 из 5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,да,нет,нет,,кирпичный,5,нет,нет,
37,"Курская область, Курск, ул. Блинова, 2к1",р-н Центральный,20 000 ₽ в месяц,1,32 м²,8 м²,8 из 9,балкон,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,да,,кирпичный,9,1,нет,открытая во дворе
38,"Курская область, Курск, ул. Ленина, 27",р-н Центральный,15 000 ₽ в месяц,1,42 м²,7 м²,2 из 3,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,да,нет,,кирпичный,3,,,открытая во дворе
39,"Курская область, Курск, ул. Володарского, 70",р-н Центральный,20 000 ₽ в месяц,2,80 м²,14 м²,3 из 10,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,нет,,монолитный,10,1,1,за шлагбаумом во дворе
40,"Курская область, Курск, пр-т Победы, 10",р-н Центральный,20 000 ₽ в месяц,2,80 м²,13 м²,8 из 9,лоджия,изолированные,раздельный,евро,"кухня, спальные места","холодильник, плита, стиральная машина, водонагреватель","Wi-Fi, телевидение",да,нет,нет,,монолитно-кирпичный,9,1,,открытая во дворе
41,"Курская область, Курск, ул. Ватутина, 14",р-н Центральный,20 000 ₽ в месяц,3,75 м²,8.5 м²,4 из 5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель",Wi-Fi,да,нет,нет,,кирпичный,5,нет,,за шлагбаумом во дворе
42,"Курская область, Курск, ул. Димитрова, 75",р-н Центральный,16 000 ₽ в месяц,2,61 м²,8.5 м²,9 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",телевидение,да,нет,нет,,панельный,9,1,,открытая во дворе
43,"Курская область, Курск, ул. Блинова, 13/15",р-н Центральный,13 000 ₽ в месяц,1,34 м²,7 м²,6 из 9,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",Wi-Fi,нет,нет,,,кирпичный,9,,,
44,"Курская область, Курск, пр-т Вячеслава Клыкова, 85",р-н Центральный,9 000 ₽ в месяц,1,39 м²,10 м²,7 из 17,лоджия,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,нет,нет,нет,,панельный,17,1,1,открытая во дворе
45,"Курская область, Курск, пр-т Победы, 42",р-н Центральный,10 000 ₽ в месяц,1,38 м²,9 м²,7 из 16,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,панельный,16,1,1,открытая во дворе
46,"Курская область, Курск, Магистральный пр., 10",р-н Сеймский,15 000 ₽ в месяц,3,52 м²,9 м²,3 из 5,,изолированные,,косметический,"кухня, хранение одежды, спальные места","холодильник, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,,,кирпичный,5,1,,открытая во дворе
47,"Курская область, Курск, ул. Радищева, 86",р-н Центральный,18 000 ₽ в месяц,1,37 м²,7 м²,5 из 9,,,,евро,"кухня, хранение одежды","холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,,,панельный,9,1,,открытая во дворе
48,"Курская область, Курск, ул. Домостроителей, 1",р-н Центральный,11 000 ₽ в месяц,2,59 м²,11 м²,6 из 17,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,панельный,17,1,1,открытая во дворе
49,"Курская область, Курск, Центральный округ, пр-т Дружбы, 13",р-н Центральный,12 000 ₽ в месяц,2,57 м²,9 м²,8 из 9,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,да,да,,панельный,9,1,,
50,"Курская область, Курск, ул. Ленина, 108",р-н Центральный,17 000 ₽ в месяц,1,38 м²,10 м²,3 из 4,,,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,да,нет,нет,,блочный,4,нет,нет,за шлагбаумом во дворе
51,"Курская область, Курск, пр-т Анатолия Дериглазова, 43А",р-н Центральный,15 000 ₽ в месяц,2,59.6 м²,11 м²,15 из 17,"балкон, лоджия",изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,да,нет,,,панельный,17,,,
52,"Курская область, Курск, ул. Карла Либкнехта, 4",р-н Центральный,10 000 ₽ в месяц,2,45 м²,8 м²,8 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,да,нет,нет,,панельный,9,1,нет,открытая во дворе
53,"Курская область, Курск, ул. Черняховского, 58",р-н Сеймский,11 000 ₽ в месяц,1,36 м²,10 м²,1 из 10,лоджия,,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,нет,нет,нет,,кирпичный,10,1,,открытая во дворе
54,"Курская область, Курск, ул. Павлуновского, 48В",р-н Центральный,20 000 ₽ в месяц,1,43.5 м²,10 м²,16 из 17,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина",Wi-Fi,нет,нет,нет,,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе
55,"Курская область, Курск, пр-т Анатолия Дериглазова, 93",р-н Центральный,10 000 ₽ в месяц,1,40 м²,10 м²,4 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, телевизор",телевидение,нет,нет,нет,,панельный,17,1,1,открытая во дворе
56,"Курская область, Курск, Хуторская ул., 12Г",р-н Центральный,15 000 ₽ в месяц,1,44.3 м²,15 м²,9 из 9,"балкон, лоджия",,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,9,1,1,"открытая во дворе, за шлагбаумом во дворе"
57,"Курская область, Курск, микрорайон Курского завода тракторных запчастей, ул. Дейнеки, 32",р-н Сеймский,8 000 ₽ в месяц,2,42 м²,6 м²,1 из 5,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,да,нет,нет,,панельный,5,,,открытая во дворе
58,"Курская область, Курск, ул. Льва Толстого, 21",р-н Центральный,40 000 ₽ в месяц,2,70 м²,20 м²,8 из 10,лоджия,изолированные,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",нет,нет,нет,,монолитный,10,2,1,за шлагбаумом во дворе
59,"Курская область, Курск, пр-т Победы, 28",р-н Центральный,22 000 ₽ в месяц,3,82 м²,10 м²,11 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель",,да,нет,нет,,панельный,17,1,1,"подземная, наземная многоуровневая, открытая во дворе"
60,"Курская область, Курск, ул. Челюскинцев, 15",р-н Центральный,30 000 ₽ в месяц,2,74 м²,16 м²,1 из 9,"балкон, лоджия",изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,да,да,,кирпичный,9,1,нет,открытая во дворе
61,"Курская область, Курск, ул. Димитрова, 97",р-н Центральный,15 000 ₽ в месяц,1,36 м²,7 м²,4 из 5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,да,да,,,панельный,5,,,открытая во дворе
62,"Курская область, Курск, ул. 50 лет Октября, 91",р-н Центральный,16 000 ₽ в месяц,2,68 м²,12 м²,3 из 9,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,9,,1,открытая во дворе
63,"Курская область, Курск, ул. Павлуновского, 48В",р-н Центральный,25 000 ₽ в месяц,2,70 м²,10 м²,3 из 16,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор",,да,да,нет,,монолитный,16,1,1,за шлагбаумом во дворе
64,"Курская область, Курск, ул. Горького, 50",р-н Центральный,30 000 ₽ в месяц,2,80 м²,20 м²,3 из 10,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор",,да,да,да,,монолитный,10,1,1,за шлагбаумом во дворе
65,"Курская область, Курск, Почтовая ул., 2",р-н Центральный,12 000 ₽ в месяц,1,31.5 м²,7 м²,2 из 5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","плита, стиральная машина, телевизор",,да,да,да,,кирпичный,5,,,открытая во дворе
66,"Курская область, Курск, Мирная ул., 2",р-н Центральный,12 000 ₽ в месяц,1,36 м²,7 м²,5 из 5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,нет,,кирпичный,5,нет,нет,за шлагбаумом во дворе
67,"Курская область, Курск, ул. Гоголя, 25",р-н Центральный,20 000 ₽ в месяц,4,61.4 м²,11.5 м²,1 из 5,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина",Wi-Fi,да,да,да,,панельный,5,нет,нет,открытая во дворе
68,"Курская область, Курск, пр-т Победы, 24",р-н Центральный,12 000 ₽ в месяц,1,37 м²,10 м²,3 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,панельный,17,1,1,открытая во дворе
69,"Курская область, Курск, ул. Володарского, 6",р-н Центральный,25 000 ₽ в месяц,3,84 м²,12 м²,1 из 5,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,нет,,кирпичный,5,,,
