,Адрес,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Максимум гостей,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка
70,"Курская область, Курск, микрорайон Северо-Западный, пр-т Хрущёва, 35",р-н Центральный,13 000 ₽ в месяц,2,46.5 м²,8 м²,2 из 9,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,панельный,9,,,открытая во дворе
71,"Курская область, Курск, Московский пр., 4",р-н Центральный,14 000 ₽ в месяц,1,37 м²,10 м²,3 из 4,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,да,,кирпичный,4,нет,нет,открытая во дворе
72,"Курская область, Курск, ул. Чапаева, 89",р-н Железнодорожный,6 000 ₽ в месяц,2,100 м²,12 м²,1 из 2,"балкон, лоджия",изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",нет,нет,нет,,монолитный,2,нет,нет,открытая во дворе
73,"Курская область, Курск, Советская ул., 12",р-н Центральный,17 000 ₽ в месяц,1,45 м²,15 м²,10 из 10,балкон,,совмещенный,евро,"кухня, хранение одежды","холодильник, плита",Wi-Fi,да,нет,нет,,кирпичный,10,1,1,за шлагбаумом во дворе
74,"Курская область, Курск, ул. Пионеров, 17",р-н Центральный,16 000 ₽ в месяц,1,50 м²,10 м²,4 из 9,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель, телевизор",телевидение,да,да,нет,,кирпичный,9,1,,за шлагбаумом во дворе
75,"Курская область, Курск, ул. Ленина, 31",р-н Центральный,13 000 ₽ в месяц,1,32 м²,6 м²,2 из 9,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,да,,кирпичный,9,1,нет,за шлагбаумом во дворе
76,"Курская область, Курск, ул. Радищева, 20",р-н Центральный,20 000 ₽ в месяц,1,50 м²,20 м²,6 из 17,балкон,,,евро,,,"Wi-Fi, телевидение",нет,нет,нет,,кирпичный,17,,,
77,"Курская область, Курск, пр-т Победы, 18",р-н Центральный,11 000 ₽ в месяц,2,52 м²,9 м²,7 из 9,лоджия,изолированные,раздельный,косметический,,,,да,нет,нет,,панельный,9,1,нет,открытая во дворе
78,"Курская область, Курск, ул. Горького, 70",р-н Центральный,60 000 ₽ в месяц,3,90 м²,17 м²,7 из 17,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе
79,"Курская область, Курск, микрорайон Курского завода тракторных запчастей, ул. Дейнеки, 29",р-н Сеймский,12 000 ₽ в месяц,2,45 м²,6 м²,4 из 5,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,да,нет,нет,,панельный,5,нет,,
80,"Курская область, Курск, пр-т Вячеслава Клыкова, 47",р-н Центральный,20 000 ₽ в месяц,1,40 м²,10 м²,1 из 17,,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",,нет,нет,нет,,панельный,17,1,1,за шлагбаумом во дворе
81,"Курская область, Курск, пр-т Вячеслава Клыкова, 20",р-н Центральный,12 000 ₽ в месяц,1,38 м²,10 м²,1 из 17,,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,нет,,панельный,17,2,2,открытая во дворе
82,"Курская область, Курск, ул. Бойцов 9-й Дивизии, 191",р-н Центральный,15 000 ₽ в месяц,3,80 м²,9 м²,7 из 10,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места",плита,,да,нет,нет,,панельный,10,1,нет,открытая во дворе
83,"Курская область, Курск, пр-т Ленинского Комсомола, 52",р-н Сеймский,12 000 ₽ в месяц,2,49 м²,9 м²,3 из 9,"балкон, лоджия",изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,да,нет,нет,,панельный,9,1,,
84,"Курская область, Курск, ул. Радищева, 71к1",р-н Центральный,13 000 ₽ в месяц,2,46 м²,6 м²,2 из 5,балкон,изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,5,нет,нет,за шлагбаумом во дворе
85,"Курская область, Курск, микрорайон Северо-Западный, пр-т Хрущёва, 14",р-н Центральный,18 000 ₽ в месяц,3,76 м²,12 м²,4 из 9,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,нет,нет,нет,,панельный,9,4,нет,"открытая во дворе, за шлагбаумом во дворе"
86,"Курская область, Курск, 2-я ул. Новосёловка, 3А",р-н Железнодорожный,17 000 ₽ в месяц,3,60 м²,8 м²,2 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,,,кирпичный,9,1,,открытая во дворе
87,"Курская область, Курск, ул. Карла Маркса, 31А",р-н Центральный,15 000 ₽ в месяц,1,42 м²,10 м²,10 из 17,балкон,,совмещенный,евро,кухня,"кондиционер, холодильник, плита, микроволновка, стиральная машина",,да,нет,да,,панельный,17,1,1,"подземная, за шлагбаумом во дворе"
88,"Курская область, Курск, пр-т Анатолия Дериглазова",р-н Центральный,9 000 ₽ в месяц,1,38 м²,10 м²,17 из 17,,,,косметический,,"холодильник, плита",,да,нет,нет,,панельный,17,,,
89,"Курская область, Курск, ул. Гайдара, 11",р-н Центральный,12 000 ₽ в месяц,1,54 м²,12 м²,4 из 10,,,,евро,кухня,"холодильник, плита, стиральная машина",,нет,нет,нет,,кирпичный,10,,1,за шлагбаумом во дворе
90,"Курская область, Курск, пр-т Анатолия Дериглазова, 9",р-н Центральный,10 000 ₽ в месяц,1,47.5 м²,11 м²,12 из 17,балкон,,совмещенный,евро,,,,нет,нет,нет,,монолитный,17,1,1,открытая во дворе
91,"Курская область, Курск, ул. Карла Маркса, 15",р-н Центральный,30 000 ₽ в месяц,3,100 м²,10 м²,10 из 10,лоджия,изолированные,раздельный,евро,,"кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор",Wi-Fi,да,нет,да,,кирпичный,10,1,нет,открытая во дворе
92,"Курская область, Курск, ул. Щепкина, 20",р-н Центральный,12 000 ₽ в месяц,1,41.3 м²,12 м²,8 из 10,,,раздельный,косметический,,,,да,да,,,кирпичный,10,,,
93,"Курская область, Курск, пр-т Ленинского Комсомола, 54",р-н Сеймский,14 000 ₽ в месяц,3,61 м²,11 м²,5 из 9,"балкон, лоджия",изолированные,раздельный,косметический,"хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",5Дополнительно,да,,,панельный,9,,,
94,"Курская область, Курск, Институтская ул., 48",р-н Центральный,12 000 ₽ в месяц,2,48 м²,8 м²,6 из 6,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,,,кирпичный,6,нет,нет,
95,"Курская область, Курск, пр-т Анатолия Дериглазова, 21",р-н Центральный,7 000 ₽ в месяц,1,39 м²,9 м²,2 из 17,балкон,,совмещенный,косметический,,,,да,нет,нет,,панельный,17,1,1,
96,"Курская область, Курск, пр-т Победы, 54",р-н Центральный,8 000 ₽ в месяц,1,38 м²,9.5 м²,9 из 17,балкон,,совмещенный,косметический,,,,да,нет,нет,,панельный,17,1,1,
97,"Курская область, Курск, пр-т Победы, 2",р-н Центральный,15 000 ₽ в месяц,1,50 м²,14 м²,8 из 10,,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,нет,нет,,,монолитный,10,,,
98,"Курская область, Курск, пр-т Победы, 34",р-н Центральный,8 000 ₽ в месяц,1,39 м²,10 м²,6 из 17,,,,косметический,,,,да,да,,,панельный,17,,,
99,"Курская область, Курск, пр-т Победы, 24",р-н Центральный,17 000 ₽ в месяц,2,61 м²,11 м²,7 из 17,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,панельный,17,1,1,открытая во дворе
100,"Курская область, Курск, ул. Карла Маркса, 61",р-н Центральный,24 000 ₽ в месяц,2,48 м²,6 м²,3 из 5,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина","Wi-Fi, телевидение",нет,нет,нет,,панельный,5,нет,нет,открытая во дворе
101,"Курская область, Курск, Хуторская ул., 4",р-н Центральный,30 000 ₽ в месяц,2,75 м²,19 м²,4 из 10,лоджия,изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,монолитно-кирпичный,10,1,1,за шлагбаумом во дворе
102,"Курская область, Курск, пр-т Ленинского Комсомола, 54",р-н Сеймский,11 000 ₽ в месяц,2,46 м²,9 м²,6 из 9,лоджия,изолированные,раздельный,косметический,кухня,"холодильник, плита, стиральная машина, телевизор",Wi-Fi,да,нет,нет,,панельный,9,1,,открытая во дворе
103,"Курская область, Курск, микрорайон Курского завода тракторных запчастей, ул. Дейнеки, 16",р-н Сеймский,9 000 ₽ в месяц,1,31 м²,6 м²,2 из 5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,да,нет,нет,,панельный,5,,,открытая во дворе
104,"Курская область, Курск, ул. Ленина, 94",р-н Центральный,22 000 ₽ в месяц,3,61 м²,7 м²,7 из 9,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",нет,нет,да,,кирпичный,9,1,нет,за шлагбаумом во дворе
105,"Курская область, Курск, Центральный округ, Школьная ул., 1Б",р-н Центральный,20 000 ₽ в месяц,1,54 м²,14 м²,5 из 8,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина","Wi-Fi, телевидение",да,нет,да,,монолитный,8,1,,за шлагбаумом во дворе
106,"Курская область, Курск, пр-т Анатолия Дериглазова, 121",р-н Центральный,12 000 ₽ в месяц,2,72 м²,17 м²,12 из 16,лоджия,изолированные,раздельный,дизайнерский,кухня,плита,,да,нет,нет,,монолитно-кирпичный,16,1,1,открытая во дворе
107,"Курская область, Курск, ул. Димитрова, 97",р-н Центральный,30 000 ₽ в месяц,3,65 м²,6 м²,1 из 5,,изолированные,,косметический,,"холодильник, микроволновка, стиральная машина",,да,да,нет,,панельный,5,,,
108,"Курская область, Курск, ул. Чернышевского, 10",р-н Центральный,15 000 ₽ в месяц,2,47 м²,8 м²,5 из 9,лоджия,изолированные,раздельный,косметический,"кухня, спальные места","холодильник, плита, стиральная машина",,да,да,,,кирпичный,9,,,
109,"Курская область, Курск, ул. Димитрова, 40",р-н Центральный,20 000 ₽ в месяц,студия,32.3 м²,,4 из 9,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,9,1,нет,за шлагбаумом во дворе
110,"Курская область, Курск, Союзная ул., 55",р-н Железнодорожный,8 000 ₽ в месяц,1,30 м²,6 м²,2 из 5,"балкон, лоджия",,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,панельный,5,нет,нет,открытая во дворе
111,"Курская область, Курск, ул. Гайдара, 26А",р-н Центральный,27 000 ₽ в месяц,1,44 м²,44 м²,5 из 16,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,нет,,монолитный,16,1,1,открытая во дворе
112,"Курская область, Курск, пр-т Вячеслава Клыкова, 64",р-н Центральный,12 000 ₽ в месяц,1,37 м²,10 м²,12 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",нет,нет,нет,,панельный,17,,,открытая во дворе
113,"Курская область, Курск, микрорайон КЗТЗ, ул. Дейнеки, 32",р-н Сеймский,12 000 ₽ в месяц,2,43 м²,6 м²,5 из 5,балкон,изолированные,раздельный,косметический,,"кондиционер, холодильник, плита, микроволновка, водонагреватель",,да,нет,,,панельный,5,,,
114,"Курская область, Курск, ул. Радищева, 20",р-н Центральный,20 000 ₽ в месяц,2,54 м²,10 м²,9 из 17,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,нет,нет,нет,,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе
115,"Курская область, Курск, Запольная ул., 60",р-н Центральный,25 000 ₽ в месяц,1,37 м²,10 м²,4 из 18,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,нет,нет,нет,,монолитный,18,,1,за шлагбаумом во дворе
116,"Курская область, Курск, пр-т Ленинского Комсомола, 101",р-н Сеймский,12 000 ₽ в месяц,2,46 м²,46 м²,7 из 9,балкон,изолированные,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,нет,,кирпичный,9,1,,открытая во дворе
117,"Курская область, Курск, Дружининская ул., 29",р-н Центральный,20 000 ₽ в месяц,1,45 м²,10 м²,7 из 10,лоджия,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",телевидение,нет,нет,нет,,монолитно-кирпичный,10,,1,за шлагбаумом во дворе
118,"Курская область, Курск, пр-т Анатолия Дериглазова, 13",р-н Центральный,20 000 ₽ в месяц,2,56 м²,10 м²,11 из 17,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина","Wi-Fi, телевидение",да,нет,,,панельный,17,4,4,открытая во дворе
119,"Курская область, Курск, Кавказская ул., 39",р-н Центральный,12 000 ₽ в месяц,2,47 м²,8 м²,8 из 9,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,,,панельный,9,1,,открытая во дворе
120,"Курская область, Курск, ул. Дзержинского, 43",р-н Центральный,15 000 ₽ в месяц,3,55 м²,8 м²,3 из 4,,"изолированные, смежные",раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель, телевизор",,да,нет,нет,,кирпичный,4,нет,нет,за шлагбаумом во дворе
121,"Курская область, Курск, пр-т Вячеслава Клыкова, 63",р-н Центральный,15 000 ₽ в месяц,3,80 м²,10 м²,10 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,нет,нет,нет,,панельный,17,1,1,открытая во дворе
122,"Курская область, Курск, пр-т Вячеслава Клыкова, 39",р-н Центральный,17 000 ₽ в месяц,1,39 м²,10 м²,9 из 17,лоджия,,,евро,"кухня, хранение одежды","кондиционер, холодильник, плита, микроволновка, стиральная машина",Wi-Fi,нет,нет,нет,,панельный,17,1,1,открытая во дворе
123,"Курская область, Курск, 1-я Воронежская ул., 35",р-н Железнодорожный,35 000 ₽ в месяц,3,90 м²,20 м²,2 из 2,балкон,"изолированные, смежные",совмещенный,евро,"кухня, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",нет,нет,нет,,кирпичный,2,,,открытая во дворе
124,"Курская область, Курск, Звёздная ул., 15",р-н Центральный,20 000 ₽ в месяц,2,70 м²,10 м²,1 из 10,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, посудомоечная машина, водонагреватель",,да,нет,,,панельный,10,1,,открытая во дворе
125,"Курская область, Курск, ул. Карла Маркса, 72к14",р-н Центральный,20 000 ₽ в месяц,4,114 м²,10 м²,3 из 5,лоджия,изолированные,раздельный,косметический,кухня,"холодильник, плита, стиральная машина",,да,нет,нет,,монолитный,5,нет,нет,открытая во дворе
126,"Курская область, Курск, ул. Карла Маркса, 72к22",р-н Центральный,22 000 ₽ в месяц,1,42 м²,9 м²,6 из 10,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,,,панельный,10,1,,
127,"Курская область, Курск, Дружининская ул., 29",р-н Центральный,37 000 ₽ в месяц,1,45 м²,15 м²,9 из 10,балкон,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,10,1,1,за шлагбаумом во дворе
128,"Курская область, Курск, ул. Софьи Перовской, 18",р-н Центральный,20 000 ₽ в месяц,1,42.6 м²,18.1 м²,5 из 18,балкон,,совмещенный,евро,,,,да,нет,,,монолитно-кирпичный,18,1,1,за шлагбаумом во дворе
129,"Курская область, Курск, пр-т Победы, 42",р-н Центральный,24 000 ₽ в месяц,3,80 м²,10 м²,10 из 17,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",Wi-Fi,нет,нет,нет,,панельный,17,1,1,открытая во дворе
130,"Курская область, Курск, ул. Перекальского, 11",р-н Центральный,15 000 ₽ в месяц,1,44 м²,12 м²,2 из 12,,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",нет,нет,нет,,кирпичный,12,1,,"подземная, открытая во дворе"
131,"Курская область, Курск, ул. Пучковка, 108В",р-н Центральный,9 000 ₽ в месяц,1,30 м²,6 м²,2 из 5,,,,косметический,,"холодильник, плита, микроволновка, стиральная машина","Wi-Fi, телевидение",да,нет,нет,,кирпичный,5,,,
132,"Курская область, Курск, ул. Блинова, 2к1",р-н Центральный,12 500 ₽ в месяц,1,34 м²,9 м²,5 из 9,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,нет,нет,нет,,кирпичный,9,1,,за шлагбаумом во дворе
133,"Курская область, Курск, пр-т Вячеслава Клыкова, 20",р-н Центральный,8 000 ₽ в месяц,1,37 м²,10 м²,7 из 17,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита","Wi-Fi, телевидение",нет,нет,нет,,панельный,17,1,1,открытая во дворе
134,"Курская область, Курск, микрорайон Северо-Западный, Майский б-р, 34",р-н Центральный,12 000 ₽ в месяц,2,70 м²,15 м²,2 из 9,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,монолитный,9,1,,открытая во дворе
135,"Курская область, Курск, ул. Черняховского, 52",р-н Сеймский,25 000 ₽ в месяц,3,61 м²,8.5 м²,4 из 9,балкон,изолированные,раздельный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,панельный,9,1,,открытая во дворе
136,"Курская область, Курск, пр-т Надежды Плевицкой, 23",р-н Центральный,15 000 ₽ в месяц,2,39 м²,15.6 м²,7 из 10,лоджия,изолированные,совмещенный,евро,"кухня, спальные места","холодильник, плита, микроволновка, стиральная машина",телевидение,да,нет,нет,,панельный,10,нет,1,открытая во дворе
137,"Курская область, Курск, пр-т Анатолия Дериглазова, 37",р-н Центральный,8 500 ₽ в месяц,1,38 м²,10 м²,8 из 17,,,,косметический,,,,да,нет,нет,,панельный,17,,,
138,"Курская область, Курск, пр-т Вячеслава Клыкова, 47",р-н Центральный,16 000 ₽ в месяц,2,58 м²,10 м²,11 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина","Wi-Fi, телевидение",нет,нет,нет,,панельный,17,1,1,открытая во дворе
139,"Курская область, Курск, Орловская ул., 1А",р-н Центральный,17 000 ₽ в месяц,1,39 м²,10 м²,7 из 10,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,10,1,1,открытая во дворе
140,"Курская область, Курск, ул. Володарского, 44",р-н Центральный,25 000 ₽ в месяц,2,70 м²,9 м²,5 из 5,,изолированные,,дизайнерский,,,,да,нет,,,кирпичный,5,,,
141,"Курская область, Курск, пр-т Вячеслава Клыкова, 56",р-н Центральный,12 000 ₽ в месяц,1,37 м²,10 м²,6 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",Wi-Fi,да,да,нет,,панельный,17,1,1,открытая во дворе
